time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
120	88.51176946388111	18.54	477.51	603.42	2.69	2.69	0.17	382.41	421.31	11.26	4.02	9.94	147.19	2.55	2.80	12.11	49.15	60.14	22.36	1.35	0.52	121.53	28.81	31.17	8.19	0.00	3.71	Infinity	0.00	7.39	Infinity	45.58	63.74	39.83
121	46.48887602062988	8.95	519.46	598.71	2.78	2.81	1.70	411.25	417.09	1.57	4.79	9.94	107.29	4.03	2.95	33.52	52.20	58.74	12.53	1.48	0.59	119.41	33.67	30.90	8.21	0.00	3.79	Infinity	0.00	6.96	Infinity	51.49	64.94	26.14
122	63.48385921449484	12.04	527.31	590.08	5.92	2.94	80.41	423.89	409.79	3.68	3.37	9.94	195.30	6.40	3.11	64.16	52.49	56.93	8.48	1.41	0.66	105.23	32.26	30.50	5.48	0.00	3.84	Infinity	0.00	6.56	Infinity	46.63	65.81	41.13
123	106.22630842941881	18.79	565.46	578.51	5.96	3.06	77.64	459.06	400.18	14.19	3.69	9.95	169.79	6.49	3.28	61.80	50.75	54.83	8.03	1.46	0.75	97.02	35.13	29.99	14.61	0.00	3.87	Infinity	0.00	6.19	Infinity	51.42	66.41	29.16
124	114.36278937971196	19.91	574.28	564.77	5.91	3.18	73.72	463.71	388.87	17.86	4.84	9.96	105.66	6.38	3.46	57.12	47.86	52.52	9.74	1.40	0.84	78.76	34.76	29.42	15.37	0.00	3.88	Infinity	0.00	5.83	Infinity	58.31	66.80	14.57
125	75.7317189153926	13.86	546.30	549.49	4.69	3.30	29.64	400.40	376.36	6.00	4.18	9.97	253.55	2.74	3.64	32.90	70.79	50.08	53.28	0.69	0.95	38.71	35.84	28.79	19.67	0.00	3.87	Infinity	0.00	5.50	Infinity	60.81	67.03	10.23
126	46.97898878048873	9.23	508.91	533.18	4.70	3.41	27.62	369.86	363.02	1.85	2.61	9.99	517.50	2.67	3.84	43.76	59.62	47.57	36.81	0.70	1.07	52.39	33.78	28.12	16.75	1.44	3.85	459.56	0.00	5.19	Infinity	62.50	67.12	7.39
127	65.89813795754193	12.87	512.12	516.24	3.66	3.51	4.02	367.67	349.17	5.03	0.00	10.00	Infinity	3.97	4.05	2.01	61.94	45.04	49.69	1.77	1.21	31.47	36.94	27.43	25.73	2.34	3.82	173.11	0.00	4.90	Infinity	63.27	67.11	6.08
128	86.89617169870299	16.27	534.08	498.99	3.75	3.61	3.87	368.23	335.07	9.00	0.51	10.01	3445.61	4.26	4.26	0.14	54.98	42.52	41.29	1.83	1.37	25.28	46.15	26.73	42.08	3.22	3.77	47.01	3.10	4.63	98.39	76.67	67.01	12.60
129	60.39492053099939	12.13	497.75	481.68	3.63	3.70	2.00	343.18	320.91	6.49	5.37	10.02	158.70	4.16	4.49	7.82	38.55	40.04	7.02	0.72	1.55	114.83	42.91	26.02	39.36	5.68	3.72	94.45	1.72	4.37	307.56	76.12	66.85	12.17
130	39.88436668483618	8.69	458.87	464.50	3.60	3.79	5.30	318.01	306.83	3.51	8.79	10.03	25.94	5.10	4.72	7.35	32.40	37.62	29.36	1.70	1.75	2.96	37.69	25.31	32.85	8.23	3.66	152.12	0.00	4.14	Infinity	67.19	66.64	0.82
