date,weekday,District,vmt.sum,vmt.predict,typical_vmt_diff
8/8/2020,Saturday,MnDOT Statewide,NA,NA,4.7
8/9/2020,Sunday,MnDOT Statewide,NA,NA,2.6
8/10/2020,Monday,MnDOT Statewide,NA,NA,2.5
8/11/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
8/12/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
8/13/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
8/14/2020,Friday,MnDOT Statewide,NA,NA,2.5
8/15/2020,Saturday,MnDOT Statewide,NA,NA,4.7
8/16/2020,Sunday,MnDOT Statewide,NA,NA,2.6
8/17/2020,Monday,MnDOT Statewide,NA,NA,2.5
8/18/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
8/19/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
8/20/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
8/21/2020,Friday,MnDOT Statewide,NA,NA,2.5
8/22/2020,Saturday,MnDOT Statewide,NA,NA,4.7
8/23/2020,Sunday,MnDOT Statewide,NA,NA,2.6
8/24/2020,Monday,MnDOT Statewide,NA,NA,2.5
8/25/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
8/26/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
8/27/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
8/28/2020,Friday,MnDOT Statewide,NA,NA,2.5
8/29/2020,Saturday,MnDOT Statewide,NA,NA,4.7
8/30/2020,Sunday,MnDOT Statewide,NA,NA,2.6
8/31/2020,Monday,MnDOT Statewide,NA,NA,2.5
9/1/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
9/2/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
9/3/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
9/4/2020,Friday,MnDOT Statewide,NA,NA,2.5
9/5/2020,Saturday,MnDOT Statewide,NA,NA,4.7
9/6/2020,Sunday,MnDOT Statewide,NA,NA,2.6
9/7/2020,Monday,MnDOT Statewide,NA,NA,2.5
9/8/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
9/9/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
9/10/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
9/11/2020,Friday,MnDOT Statewide,NA,NA,2.5
9/12/2020,Saturday,MnDOT Statewide,NA,NA,4.7
9/13/2020,Sunday,MnDOT Statewide,NA,NA,2.6
9/14/2020,Monday,MnDOT Statewide,NA,NA,2.5
9/15/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
9/16/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
9/17/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
9/18/2020,Friday,MnDOT Statewide,NA,NA,2.5
9/19/2020,Saturday,MnDOT Statewide,NA,NA,4.7
9/20/2020,Sunday,MnDOT Statewide,NA,NA,2.6
9/21/2020,Monday,MnDOT Statewide,NA,NA,2.5
