time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
117	42.53143238973068	8.54	497.91	569.90	5.32	2.99	84.84	370.29	370.93	0.18	12.90	14.92	15.70	1.60	1.72	8.19	61.88	66.47	7.42	0.97	1.64	137.78	37.04	32.59	21.78	0.00	0.37	Infinity	0.00	6.86	Infinity	50.93	71.41	40.22
118	67.64625858232814	13.37	506.02	588.30	3.28	3.10	6.60	357.46	379.59	6.31	24.06	15.05	92.19	1.59	1.86	16.89	87.62	72.09	25.48	1.73	1.79	9.70	27.80	33.82	24.01	0.00	0.36	Infinity	0.00	6.36	Infinity	82.00	74.28	14.21
119	68.9651369457501	14.74	468.02	599.14	1.86	3.19	84.49	336.21	384.33	14.58	12.93	14.98	38.89	1.71	2.01	17.99	77.03	75.60	2.66	1.86	1.93	11.91	33.40	34.70	4.30	0.00	0.36	Infinity	0.00	5.89	Infinity	68.03	76.16	18.01
120	64.95664749819686	13.60	477.51	604.07	2.00	3.26	75.01	351.96	386.00	9.85	9.90	14.75	120.60	2.04	2.18	6.43	70.64	77.44	13.84	2.23	2.07	23.78	31.94	35.29	11.65	0.00	0.37	Infinity	0.00	5.46	Infinity	68.74	77.27	18.70
121	21.852403798452464	4.21	519.46	604.38	2.07	3.31	71.42	378.50	385.28	1.82	11.80	14.40	54.08	3.23	2.35	27.18	75.02	77.94	5.58	2.43	2.21	29.96	37.32	35.67	4.89	0.00	0.39	Infinity	0.00	5.05	Infinity	77.64	77.77	0.25
122	31.398794548151532	5.95	527.31	601.11	4.40	3.36	28.07	390.13	382.72	1.93	8.29	13.96	168.35	5.13	2.54	50.44	75.43	77.39	3.73	2.32	2.35	4.89	35.76	35.89	0.37	0.00	0.42	Infinity	0.00	4.67	Infinity	70.32	77.81	16.05
123	62.60524587374131	11.07	565.46	595.09	4.43	3.40	27.63	422.50	378.74	10.55	9.08	13.46	118.60	5.21	2.74	47.28	72.94	76.02	6.06	2.40	2.51	13.82	38.94	35.97	8.45	0.00	0.45	Infinity	0.00	4.32	Infinity	77.54	77.48	0.11
124	80.91734610191888	14.09	574.28	586.99	4.40	3.44	25.94	426.78	373.69	12.67	11.93	12.91	20.30	5.11	2.96	42.05	68.78	74.03	10.97	2.30	2.66	51.74	38.53	35.95	7.43	0.00	0.49	Infinity	0.00	3.99	Infinity	87.93	76.87	18.96
125	71.92939380486163	13.17	546.30	577.34	5.04	3.46	33.56	400.40	367.82	8.14	6.71	12.33	246.19	2.74	3.19	16.42	85.50	71.58	35.81	1.35	2.83	215.55	35.84	35.85	0.04	0.00	0.53	Infinity	0.00	3.69	Infinity	63.98	76.05	19.86
126	37.89029682668321	7.45	508.91	566.59	5.06	3.49	33.32	369.86	361.36	2.30	4.19	11.74	530.04	2.67	3.44	28.83	72.01	68.80	9.80	1.39	3.00	228.98	33.78	35.70	5.66	0.52	0.57	8.82	0.00	3.41	Infinity	65.77	75.07	14.89
